2022-05-19 23:05:606 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:583 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:502 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (6c197032ef547bc3f71edf9323e8acb9)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:762 INFO  HomePage :44 - Link On Used Link:[[ChromeDriver: chrome on WINDOWS (6c197032ef547bc3f71edf9323e8acb9)] -> xpath: //a[text()='Used']]
2022-05-19 23:05:521 INFO  UserdCarSearchPage :42 - get the text of used Car Search text : [[ChromeDriver: chrome on WINDOWS (6c197032ef547bc3f71edf9323e8acb9)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 23:05:323 INFO  CarSearchPage :47 - select the make for car from drop down Lamborghini
2022-05-19 23:05:491 INFO  CarSearchPage :52 - select the model for car from drop down Huracan
2022-05-19 23:05:579 INFO  CarSearchPage :57 - select the location for car from drop down VIC - All
2022-05-19 23:05:664 INFO  CarSearchPage :62 - select the price for car from drop down $60,000
2022-05-19 23:05:757 INFO  CarSearchPage :67 - click on find My Next Car button [[ChromeDriver: chrome on WINDOWS (6c197032ef547bc3f71edf9323e8acb9)] -> xpath: //input[@id='search-submit']]
2022-05-19 23:05:498 INFO  SearchResultPage :22 - get the text of car search result car : Proxy element for: DefaultElementLocator 'By.xpath: //h1[@class="listing-search-title"]'
2022-05-20 00:05:337 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-20 00:05:439 INFO  ManageDriver :33 - Launching Chrome Browser
